time_s,pending_tx,drain_s,vulnerable_drain_s,predicted_window_s,vulnerable_window_s,virtual
0.0,41,0.69864,0.69864,6.69864,6.69864,0.0
12.0,39,0.66456,0.66456,6.66456,6.66456,0.0
24.0,36,0.61344,0.61344,6.61344,6.61344,0.0
36.0,40,0.6816000000000001,0.6816000000000001,6.6816,6.6816,0.0
48.0,37,0.63048,0.63048,6.63048,6.63048,0.0
60.0,50,0.8520000000000001,0.8520000000000001,6.852,6.852,0.0
72.0,47,0.80088,0.80088,6.80088,6.80088,0.0
84.0,30,0.5112,0.5112,6.5112,6.5112,0.0
96.0,44,0.7497600000000001,0.7497600000000001,6.74976,6.74976,0.0
108.0,36,0.61344,0.61344,6.61344,6.61344,0.0
120.0,159,2.70936,2.70936,8.70936,8.70936,0.0
132.0,947,16.13688,16.13688,22.13688,22.13688,0.0
144.0,1724,29.37696,29.37696,35.37696,35.37696,0.0
156.0,2491,42.44664,42.44664,48.44664,48.44664,0.0
168.0,2170,36.976800000000004,36.976800000000004,42.976800000000004,42.976800000000004,0.0
180.0,1936,32.98944,32.98944,38.98944,38.98944,0.0
192.0,2828,48.18912,48.18912,54.18912,54.18912,0.0
204.0,3706,63.150240000000004,63.150240000000004,69.15024,69.15024,0.0
216.0,4593,78.26472000000001,78.26472000000001,84.26472000000001,84.26472000000001,0.0
228.0,5456,92.97024,92.97024,98.97024,98.97024,0.0
240.0,6286,107.11344000000001,107.11344000000001,113.11344000000001,113.11344000000001,0.0
252.0,7090,120.81360000000001,120.81360000000001,126.81360000000001,126.81360000000001,0.0
264.0,7935,135.2124,135.2124,141.2124,141.2124,0.0
276.0,8795,149.8668,149.8668,155.8668,155.8668,0.0
288.0,9508,162.01632,162.01632,168.01632,168.01632,0.0
300.0,9163,156.13752,156.13752,162.13752,162.13752,0.0
312.0,8847,150.75288,150.75288,156.75288,156.75288,0.0
324.0,8530,145.3512,145.3512,151.3512,151.3512,0.0
336.0,8183,139.43832,139.43832,145.43832,145.43832,0.0
348.0,7872,134.13888,134.13888,140.13888,140.13888,0.0
360.0,7561,128.83944,128.83944,134.83944,134.83944,0.0
372.0,7291,124.23864,124.23864,130.23864,130.23864,0.0
384.0,6970,118.76880000000001,118.76880000000001,124.76880000000001,124.76880000000001,0.0
396.0,6659,113.46936000000001,113.46936000000001,119.46936000000001,119.46936000000001,0.71625
408.0,6356,108.30624,108.30624,114.30624,114.30624,9.401250000000001
420.0,6033,102.80232000000001,102.80232000000001,108.80232000000001,108.80232000000001,19.43
432.0,5712,97.33248,97.33248,103.33248,103.33248,28.521250000000002
444.0,5390,91.8456,91.8456,97.8456,97.8456,38.518750000000004
456.0,5059,86.20536,86.20536,92.20536,92.20536,48.01625000000001
468.0,4756,81.04224,81.04224,87.04224,87.04224,57.45125000000001
480.0,4458,75.96432,75.96432,81.96432,81.96432,66.44875
492.0,4108,70.00032,70.00032,76.00032,76.00032,76.50875
504.0,3797,64.70088,64.70088,70.70088,70.70088,85.81875000000001
516.0,3472,59.16288,59.16288,65.16288,65.16288,95.50375000000001
528.0,3150,53.676,53.676,59.676,59.676,104.93875000000001
540.0,2849,48.546960000000006,48.546960000000006,54.546960000000006,54.546960000000006,114.56125000000002
552.0,2530,43.111200000000004,43.111200000000004,49.111200000000004,49.111200000000004,123.77750000000002
564.0,2223,37.879920000000006,37.879920000000006,43.879920000000006,43.879920000000006,132.5875
576.0,1930,32.8872,32.8872,38.8872,38.8872,141.5225
588.0,1583,26.974320000000002,26.974320000000002,32.974320000000006,32.974320000000006,151.73875
600.0,1247,21.24888,21.24888,27.24888,27.24888,161.6425
612.0,957,16.307280000000002,16.307280000000002,22.307280000000002,22.307280000000002,170.76500000000001
624.0,653,11.127120000000001,11.127120000000001,17.12712,17.12712,179.48125000000002
636.0,339,5.77656,5.77656,11.77656,11.77656,188.85375000000002
648.0,162,2.7604800000000003,2.7604800000000003,8.760480000000001,8.760480000000001,198.06000000000003
660.0,937,15.96648,15.96648,21.96648,21.96648,197.62000000000003
672.0,1694,28.86576,28.86576,34.86576,34.86576,197.18000000000004
684.0,1345,22.9188,22.9188,28.9188,28.9188,196.74000000000004
696.0,1049,17.87496,17.87496,23.87496,23.87496,196.30000000000004
708.0,839,14.296560000000001,14.296560000000001,20.29656,20.29656,195.86000000000004
720.0,1656,28.21824,28.21824,34.21824,34.21824,195.42000000000004
732.0,2476,42.19104,42.19104,48.19104,48.19104,194.98000000000005
744.0,3297,56.18088,56.18088,62.18088,62.18088,194.54000000000005
756.0,4138,70.51152,70.51152,76.51152,76.51152,194.10000000000005
768.0,4868,82.95072,82.95072,88.95072,88.95072,193.66000000000005
780.0,4523,77.07192,77.07192,83.07192,83.07192,193.22000000000006
